Nº inventário;Localização;Denominação;Incorporação em
1221588;21080001;SENAI Ricardo Lerner;02/12/2009
1221668;21080001;SENAI Ricardo Lerner;01/12/2016
724781;21080013;PROJETOR MULTIMIDIA 1200 ANSI LUMENS;31/07/2004
724782;21080013;PROJETOR MULTIMIDIA 1200 ANSI LUMENS;31/07/2004
724783;21080013;PROJETOR MULTIMIDIA 1200 ANSI LUMENS;31/07/2004
724784;21080013;PROJETOR MULTIMIDIA 1200 ANSI LUMENS;31/07/2004
724785;21080013;PROJETOR MULTIMIDIA 1200 ANSI LUMENS;31/07/2004
743397;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
743398;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
743399;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
743400;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
743401;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
743402;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
743403;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
743404;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
743405;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
743406;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
743407;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
743408;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
743409;21080013;CAIXA ACUSTICA TIPO ARANDELA 40W;30/11/2005
758390;21080049;SISTEMA DE MICROFONE SEM FIO;31/08/2006
976440;21080057;EMPILHADEIRA 2,5 TON ELETRÔNICA/TOYOTA;08/02/2011
745134;21080003;MANEQUIM ADULTO TREIN.RESPIRACAO CARDIO;31/01/2006
1170017;21080038;MACA P/RESGATE EM POLIETILENO/;29/07/2016
1170018;21080054;MACA P/RESGATE EM POLIETILENO/;29/07/2016
1171609;21080038;CADEIRA DE RODAS C/APOIO P/PERNAS/JAGUARIBE;29/08/2016
1210363;21080057;DESFIBRILADOR EXTERNO AUTOMÁTICO/ LIFE;24/09/2018
152618;21080038;CONTADOR ROTACOES AUTOMATICO  A 10000;01/01/1966
230816;21080057;CILINDRO DE GAS DE 45KG;31/03/1971
230817;21080057;CILINDRO DE GAS DE 45KG;31/03/1971
264119;21080038;PINCA ANATOMICA 140 MM;30/06/1973
264120;21080038;PINCA ANATOMICA 140 MM;30/06/1973
514202;21080038;PINCA PONTA CURVA 150MM GEDORE;31/08/1989
560901;21080033;PINCA PONTA CURVA 45G GEDORE;31/12/1991
560902;21080038;PINCA PONTA CURVA 45G GEDORE;31/12/1991
560904;21080033;PINCA PONTA CURVA 45G GEDORE;31/12/1991
560905;21080033;PINCA PONTA CURVA 45G GEDORE;31/12/1991
560906;21080033;PINCA PONTA CURVA 45G GEDORE;31/12/1991
560907;21080033;PINCA PONTA CURVA 45G GEDORE;31/12/1991
560908;21080033;PINCA PONTA CURVA 45G GEDORE;31/12/1991
560909;21080033;PINCA PONTA CURVA 45G GEDORE;31/12/1991
560910;21080033;PINCA PONTA CURVA 45G GEDORE;31/12/1991
561749;21080013;BALANCA ENFERMARIA 150KG FILIZOLA;31/12/1991
566535;21080038;MULTIMETRO ANALOGICO PORT.MINIPA ET3021;29/02/1992
784597;21080013;PROJETOR MULTIM. BEN-MP610 -1800 ANSI LUMENS;10/04/2007
1169229;21080057;FILTRO DE ÁGUA / PURIFIC;31/01/2018
905732;21080057;CAVALETE P/ DESEMPENO DC-847  LDM;07/08/2009
913696;21080013;TELA ELÉTRICA P/PROJEÇÃO 120P/TES;18/11/2009
923912;21080057;ESCADA DE ABRIR DE FIBRA-3MTS/WBERTOLO;14/01/2010
950100;21080045;CONJ. EST.CENTRAL ALARME DE INCÊNDIO/EXSTO;30/07/2010
954036;21080014;ESCADA DE ABRIR 1,5MTS 05 DEGR./W.BERTOLO;20/08/2010
954042;21080046;ESCADA DE ABRIR 1,5MTS 05 DEGR./W.BERTOLO;20/08/2010
954043;21080039;ESCADA DE ABRIR 1,5MTS 05 DEGR./W.BERTOLO;20/08/2010
954044;21080046;ESCADA DE ABRIR 1,5MTS 05 DEGR./W.BERTOLO;20/08/2010
954046;21080012;ESCADA DE ABRIR 1,5MTS 05 DEGR./W.BERTOLO;20/08/2010
956691;21080046;TORRE DE RECALQUE D ÁGUA/DE LORENZO;24/09/2010
1009000;21080046;ESCADA DE ABRIR FIBRA 7 DEGRAUS/W.BERTOLO;07/11/2011
1010118;21080039;TELA ELÉTRICA TENSIONADA DE 84P/PROJETELAS;13/12/2011
1050160;21080057;ESCADA DUPLA DE FIBRA C/ 5 MTS./W.BERTOLO;06/12/2012
1050161;21080057;ESCADA DUPLA DE FIBRA C/ 5 MTS./W.BERTOLO;06/12/2012
1050257;21080057;ESCADA DE ABRIR FIBRA 7 DEGRAUS/W.BERTOLO;05/12/2012
1050258;21080046;ESCADA DE ABRIR FIBRA 7 DEGRAUS/W.BERTOLO;05/12/2012
1154734;21080057;ESCADA EXTENS.FIBRA C/ CATRACA 5,70X10,20M/BERTOLO;22/01/2016
1172832;21080057;ESCADA EM FIBRA 12D - DUPLO ACESSO/ W BERTOLO;27/09/2016
1173935;21080023;CARRINHO P/FERRAMENTAS C/4 GAVETAS / MARCON;05/10/2016
1173936;21080045;CARRINHO P/FERRAMENTAS C/4 GAVETAS / MARCON;05/10/2016
1173937;21080023;CARRINHO P/FERRAMENTAS C/4 GAVETAS / MARCON;05/10/2016
1173938;21080045;CARRINHO P/FERRAMENTAS C/4 GAVETAS / MARCON;05/10/2016
